"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:22:20 UTC 2026","38733","tests","test_fileHandling","","","","test_example_envFile",""
"passed","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:21:50 UTC 2026","9019","tests","test_login","","","","test_example_negitive",""
"broken","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:21:49 UTC 2026","8221","tests","test_login","","","","test_example_positive",""
"broken","Mon Mar 02 15:21:58 UTC 2026","Mon Mar 02 15:22:33 UTC 2026","35008","tests","test_resultsPage","","","","test_verifySearchResults",""
"broken","Mon Mar 02 15:21:58 UTC 2026","Mon Mar 02 15:22:28 UTC 2026","30006","tests","test_resultsPage","","","","test_validateNavigationToResultsScreen",""
"broken","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:21:50 UTC 2026","8888","tests","test_fileHandling","","","","test_example_JsonHandling",""
"passed","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:21:50 UTC 2026","9461","tests","test_login","","","","test_example_negitive12",""
"broken","Mon Mar 02 15:21:41 UTC 2026","Mon Mar 02 15:21:51 UTC 2026","9512","tests","test_fileHandling","","","","test_example_readingCSVFile",""
